a01,a05,G1.03,hh_type,pilot,cluster,g1_06_p1,G2.01.A,G2.02.A,G2.03.A,G2.01.B,G2.02.B,G2.03.B,G2.01.C,G2.02.C,G2.03.C,G2.01.F,G2.02.F,G2.03.F,G5.01.A,g5a_01b_p1_a,g5a_01c_p1_a,G5.02.A,G5.01.B,g5a_01b_p1_b,g5a_01c_p1_b,G5.02.B,G5.01.C,g5a_01b_p1_c,g5a_01c_p1_c,G5.02.C,G5.01.D,g5a_01b_p1_d,g5a_01c_p1_d,G5.02.D,g5a_01a_p1_e,g5a_01b_p1_e,g5a_01c_p1_e,g5a_02_p1_e,g5a_01a_p1_f,g5a_01b_p1_f,g5a_01c_p1_f,g5a_02_p1_f,g5a_01a_p1_g,g5a_01b_p1_g,g5a_01c_p1_g,g5a_02_p1_g,G5.03.A,G5.04.A,G5.05.A,G5.03.B,G5.04.B,G5.05.B,G5.03.C,G5.04.C,G5.05.C,G5.03.D,G5.04.D,G5.05.D,feelinputdecagr,raiprod_any,input_product_decision,autonomy
601.0,2.0,female,1.0,pilot 1.1,6.0,alone,yes,input into most decisions,no decision made,yes,input into most decisions,input into most decisions,yes,input into most decisions,input into most decisions,no,no decision made,no decision made,self,spouse,,to a high extent,self,spouse,,to a high extent,self,spouse,,to a high extent,self,spouse,,to a high extent,not applicable,not applicable,not applicable,n/a,self,spouse,,to a high extent,self,spouse,,to a high extent,somewhat true,not very true,always true,not very true,not very true,always true,somewhat true,not very true,always true,not very true,not very true,always true,0.0,0.0,0,0
602.0,1.0,male,1.0,pilot 1.1,6.0,alone,yes,input into some decisions,input into most decisions,yes,input into some decisions,input into most decisions,yes,input into most decisions,input into most decisions,no,no decision made,no decision made,self,spouse,,medium extent,self,spouse,,medium extent,self,spouse,,small extent,self,not applicable,not applicable,n/a,self,spouse,,to a high extent,self,spouse,,small extent,self,spouse,,small extent,not very true,somewhat true,always true,not very true,always true,always true,never true,not very true,always true,never true,somewhat true,always true,0.0,0.0,0,0
602.0,2.0,female,1.0,pilot 1.1,6.0,alone,yes,input into most decisions,input into most decisions,yes,input into most decisions,input into most decisions,yes,input into most decisions,input into most decisions,no,no decision made,no decision made,self,spouse,other hh member,to a high extent,self,spouse,other hh member,medium extent,self,spouse,other hh member,medium extent,self,spouse,other hh member,medium extent,not applicable,not applicable,not applicable,n/a,self,spouse,other hh member,medium extent,self,spouse,other hh member,to a high extent,somewhat true,not very true,always true,not very true,somewhat true,somewhat true,somewhat true,somewhat true,somewhat true,not very true,not very true,somewhat true,0.0,0.0,0,0
604.0,1.0,male,1.0,pilot 1.1,6.0,alone,yes,input into most decisions,input into most decisions,yes,input into most decisions,input into most decisions,yes,input into most decisions,input into most decisions,no,no decision made,no decision made,self,spouse,,to a high extent,self,spouse,,to a high extent,self,spouse,,to a high extent,self,spouse,,to a high extent,self,spouse,,to a high extent,self,not applicable,not applicable,n/a,spouse,,,small extent,not very true,not very true,always true,somewhat true,somewhat true,always true,not very true,not very true,always true,always true,always true,always true,0.0,0.0,0,0
604.0,2.0,female,1.0,pilot 1.1,6.0,alone,yes,input into most decisions,input into most decisions,no,no decision made,no decision made,yes,input into most decisions,input into some decisions,no,no decision made,no decision made,self,spouse,,medium extent,self,spouse,,medium extent,self,not applicable,not applicable,n/a,self,spouse,,small extent,self,not applicable,not applicable,n/a,self,spouse,,small extent,self,not applicable,not applicable,n/a,always true,somewhat true,always true,somewhat true,somewhat true,always true,always true,always true,always true,somewhat true,somewhat true,always true,0.0,0.0,0,0
606.0,1.0,male,1.0,pilot 1.1,6.0,alone,no,no decision made,no decision made,no,no decision made,no decision made,no,no decision made,no decision made,no,no decision made,no decision made,self,not applicable,not applicable,n/a,self,spouse,,medium extent,self,spouse,,medium extent,self,spouse,,medium extent,not applicable,not applicable,not applicable,n/a,not applicable,not applicable,not applicable,n/a,spouse,,,not at all,always true,always true,always true,somewhat true,never true,always true,never true,not very true,always true,never true,somewhat true,always true,0.0,0.0,0,0
606.0,2.0,female,1.0,pilot 1.1,6.0,alone,yes,input into most decisions,input into some decisions,yes,input into some decisions,input into some decisions,yes,input into some decisions,input into some decisions,no,no decision made,no decision made,self,spouse,,to a high extent,self,spouse,,to a high extent,self,spouse,,medium extent,self,spouse,,small extent,not applicable,not applicable,not applicable,n/a,not applicable,not applicable,not applicable,n/a,self,spouse,,to a high extent,not very true,somewhat true,always true,always true,somewhat true,always true,somewhat true,always true,always true,always true,always true,always true,0.0,0.0,0,0
608.0,1.0,male,1.0,pilot 1.1,6.0,alone,yes,input into some decisions,no decision made,yes,input into most decisions,input into most decisions,no,no decision made,no decision made,no,no decision made,no decision made,self,spouse,,medium extent,self,spouse,,medium extent,self,spouse,,medium extent,not applicable,not applicable,not applicable,n/a,self,not applicable,not applicable,n/a,self,spouse,,medium extent,self,spouse,,medium extent,somewhat true,always true,always true,somewhat true,always true,always true,somewhat true,always true,always true,household does not engage in activity/decision not made,household does not engage in activity/decision not made,household does not engage in activity/decision not made,0.0,0.0,0,0
608.0,2.0,female,1.0,pilot 1.1,6.0,alone,yes,input into some decisions,input into some decisions,no,no decision made,no decision made,no,no decision made,no decision made,no,no decision made,no decision made,self,spouse,,medium extent,self,spouse,,medium extent,self,not applicable,not applicable,n/a,self,spouse,,n/a,self,not applicable,not applicable,n/a,self,spouse,,small extent,self,not applicable,not applicable,n/a,somewhat true,somewhat true,always true,somewhat true,not very true,somewhat true,not very true,somewhat true,somewhat true,always true,always true,always true,0.0,0.0,0,0
609.0,1.0,male,1.0,pilot 1.1,6.0,alone,yes,input into most decisions,no decision made,yes,input into most decisions,input into most decisions,yes,input into most decisions,no decision made,no,no decision made,no decision made,self,spouse,,to a high extent,self,spouse,,to a high extent,self,spouse,other hh member,to a high extent,self,spouse,other hh member,to a high extent,self,spouse,,to a high extent,self,spouse,,to a high extent,self,spouse,,medium extent,not very true,not very true,always true,not very true,not very true,always true,somewhat true,somewhat true,always true,always true,always true,always true,0.0,0.0,0,0
609.0,2.0,female,1.0,pilot 1.1,6.0,alone,yes,input into some decisions,input into some decisions,yes,input into most decisions,input into some decisions,yes,input into some decisions,input into some decisions,no,no decision made,no decision made,self,spouse,,small extent,self,spouse,,medium extent,self,spouse,,small extent,self,spouse,,medium extent,self,not applicable,not applicable,n/a,self,spouse,,medium extent,self,not applicable,not applicable,n/a,somewhat true,somewhat true,always true,always true,always true,always true,somewhat true,somewhat true,always true,always true,somewhat true,always true,0.0,0.0,0,0
610.0,1.0,male,1.0,pilot 1.1,6.0,alone,yes,input into some decisions,input into some decisions,yes,input into some decisions,input into some decisions,yes,input into some decisions,input into some decisions,no,no decision made,no decision made,self,not applicable,not applicable,n/a,self,spouse,,medium extent,self,spouse,,medium extent,self,spouse,,medium extent,self,not applicable,not applicable,n/a,not applicable,not applicable,not applicable,n/a,spouse,,,not at all,never true,somewhat true,always true,never true,somewhat true,always true,somewhat true,somewhat true,always true,never true,never true,always true,0.0,0.0,0,0
610.0,2.0,female,1.0,pilot 1.1,6.0,alone,yes,input into most decisions,input into most decisions,yes,input into some decisions,input into some decisions,yes,input into some decisions,input into some decisions,no,no decision made,no decision made,self,spouse,,small extent,self,spouse,,small extent,self,spouse,,small extent,self,spouse,,small extent,not applicable,not applicable,not applicable,n/a,not applicable,not applicable,not applicable,n/a,self,spouse,,to a high extent,not very true,always true,always true,not very true,always true,always true,not very true,always true,always true,always true,always true,always true,0.0,0.0,0,0
611.0,1.0,male,1.0,pilot 1.1,6.0,alone,yes,input into most decisions,no decision made,yes,input into most decisions,input into most decisions,yes,input into most decisions,input into most decisions,no,no decision made,no decision made,self,spouse,,to a high extent,self,spouse,,medium extent,self,spouse,,medium extent,self,spouse,,to a high extent,self,not applicable,not applicable,n/a,self,spouse,,medium extent,spouse,,,small extent,not very true,not very true,always true,not very true,not very true,always true,not very true,not very true,always true,somewhat true,somewhat true,always true,0.0,0.0,0,0
611.0,2.0,female,1.0,pilot 1.1,6.0,alone,yes,input into some decisions,input into some decisions,yes,input into some decisions,input into some decisions,yes,no input,input into some decisions,no,no decision made,no decision made,self,spouse,,medium extent,self,spouse,,medium extent,self,spouse,,small extent,self,spouse,,medium extent,self,not applicable,not applicable,n/a,self,spouse,,medium extent,self,not applicable,not applicable,n/a,somewhat true,somewhat true,always true,always true,always true,always true,somewhat true,always true,always true,always true,somewhat true,always true,0.0,0.0,0,0
701.0,1.0,male,1.0,pilot 1.1,7.0,alone,yes,input into some decisions,input into some decisions,yes,no decision made,no decision made,yes,input into most decisions,input into most decisions,no,no decision made,no decision made,self,spouse,,medium extent,self,spouse,,to a high extent,self,spouse,,small extent,self,spouse,,to a high extent,self,not applicable,not applicable,n/a,not applicable,not applicable,not applicable,n/a,self,spouse,,to a high extent,never true,never true,always true,not very true,not very true,always true,never true,never true,somewhat true,never true,never true,always true,0.0,0.0,0,0
701.0,2.0,female,1.0,pilot 1.1,7.0,alone,yes,input into some decisions,input into some decisions,yes,input into some decisions,input into some decisions,yes,no input,no input,no,no decision made,no decision made,self,spouse,,medium extent,self,spouse,,medium extent,self,spouse,,medium extent,spouse,,,not at all,self,spouse,,medium extent,self,spouse,,medium extent,self,spouse,,medium extent,somewhat true,never true,always true,never true,never true,always true,never true,never true,always true,never true,never true,always true,0.0,0.0,0,0
702.0,1.0,male,1.0,pilot 1.1,7.0,alone,yes,input into most decisions,input into most decisions,yes,input into most decisions,input into most decisions,no,no decision made,no decision made,no,no decision made,no decision made,self,not applicable,not applicable,n/a,self,spouse,,medium extent,self,not applicable,not applicable,n/a,not applicable,not applicable,not applicable,n/a,self,not applicable,not applicable,n/a,not applicable,not applicable,not applicable,n/a,self,not applicable,not applicable,n/a,never true,never true,always true,never true,never true,always true,not very true,not very true,always true,household does not engage in activity/decision not made,household does not engage in activity/decision not made,household does not engage in activity/decision not made,0.0,0.0,0,0
702.0,2.0,female,1.0,pilot 1.1,7.0,alone,yes,input into some decisions,input into some decisions,yes,input into some decisions,input into some decisions,no,no decision made,no decision made,no,no decision made,no decision made,self,spouse,,medium extent,self,spouse,,medium extent,self,spouse,,medium extent,not applicable,not applicable,not applicable,n/a,self,spouse,,medium extent,self,spouse,,medium extent,self,not applicable,not applicable,n/a,never true,somewhat true,always true,never true,not very true,always true,never true,not very true,always true,household does not engage in activity/decision not made,household does not engage in activity/decision not made,household does not engage in activity/decision not made,0.0,0.0,0,0
703.0,1.0,male,1.0,pilot 1.1,7.0,alone,yes,input into most decisions,input into most decisions,yes,input into most decisions,input into most decisions,yes,input into most decisions,input into most decisions,no,no decision made,no decision made,self,spouse,,to a high extent,self,not applicable,not applicable,n/a,self,not applicable,not applicable,n/a,self,not applicable,not applicable,n/a,not applicable,not applicable,not applicable,n/a,not applicable,not applicable,not applicable,n/a,self,spouse,,small extent,always true,never true,always true,always true,always true,always true,somewhat true,somewhat true,always true,always true,somewhat true,always true,0.0,0.0,0,0
703.0,2.0,female,1.0,pilot 1.1,7.0,alone,yes,input into some decisions,input into some decisions,yes,input into some decisions,input into some decisions,yes,input into some decisions,input into some decisions,no,no decision made,no decision made,self,spouse,,medium extent,self,spouse,,medium extent,self,spouse,,medium extent,self,spouse,,medium extent,self,spouse,,medium extent,self,spouse,,medium extent,self,spouse,,medium extent,never true,never true,always true,never true,never true,always true,never true,never true,always true,never true,never true,always true,0.0,0.0,0,0
704.0,1.0,male,1.0,pilot 2.0,7.0,alone,yes,input into most decisions,no decision made,yes,input into most decisions,input into some decisions,yes,input into some decisions,no decision made,no,no decision made,no decision made,self,spouse,,medium extent,self,spouse,,small extent,self,spouse,,small extent,self,spouse,,to a high extent,self,not applicable,not applicable,n/a,self,spouse,,small extent,self,spouse,,medium extent,not very true,not very true,somewhat true,never true,somewhat true,always true,not very true,always true,somewhat true,not very true,always true,always true,0.0,0.0,0,0
704.0,2.0,female,1.0,pilot 2.0,7.0,with children present,yes,input into most decisions,no decision made,yes,input into most decisions,no decision made,yes,input into most decisions,no decision made,no,no decision made,no decision made,self,spouse,,medium extent,self,not applicable,not applicable,n/a,self,spouse,,medium extent,self,spouse,,medium extent,self,spouse,,medium extent,self,spouse,,medium extent,self,spouse,,to a high extent,not very true,not very true,always true,not very true,not very true,somewhat true,not very true,not very true,somewhat true,not very true,not very true,always true,0.0,0.0,0,0
705.0,1.0,male,1.0,pilot 1.1,7.0,alone,yes,no input,input into most decisions,yes,input into most decisions,input into most decisions,yes,no input,no input,no,no decision made,no decision made,self,spouse,,to a high extent,self,spouse,,medium extent,self,spouse,,to a high extent,self,spouse,,to a high extent,not applicable,not applicable,not applicable,n/a,not applicable,not applicable,not applicable,n/a,self,spouse,,small extent,never true,somewhat true,always true,never true,always true,always true,never true,somewhat true,always true,never true,always true,always true,0.0,0.0,0,0
705.0,2.0,female,1.0,pilot 1.1,7.0,alone,yes,input into some decisions,input into some decisions,yes,input into some decisions,input into some decisions,yes,input into some decisions,input into some decisions,no,no decision made,no decision made,self,spouse,,medium extent,self,spouse,,medium extent,self,spouse,,medium extent,self,spouse,,medium extent,not applicable,not applicable,not applicable,n/a,self,spouse,,small extent,self,spouse,,to a high extent,not very true,not very true,somewhat true,not very true,not very true,somewhat true,household does not engage in activity/decision not made,household does not engage in activity/decision not made,household does not engage in activity/decision not made,not very true,not very true,somewhat true,0.0,0.0,0,0
706.0,1.0,male,1.0,pilot 1.1,7.0,alone,yes,input into most decisions,input into most decisions,no,no decision made,no decision made,no,no decision made,no decision made,no,no decision made,no decision made,self,not applicable,not applicable,n/a,self,spouse,,medium extent,self,not applicable,not applicable,n/a,self,not applicable,not applicable,n/a,not applicable,not applicable,not applicable,n/a,not applicable,not applicable,not applicable,n/a,spouse,,,not at all,never true,never true,always true,not very true,somewhat true,always true,never true,somewhat true,always true,never true,not very true,always true,0.0,0.0,0,0
706.0,2.0,female,1.0,pilot 1.1,7.0,alone,yes,input into most decisions,input into most decisions,yes,input into most decisions,input into some decisions,yes,input into some decisions,input into some decisions,no,no decision made,no decision made,self,spouse,,to a high extent,self,spouse,,to a high extent,self,spouse,,medium extent,self,spouse,,small extent,not applicable,not applicable,not applicable,n/a,not applicable,not applicable,not applicable,n/a,self,spouse,,to a high extent,not very true,not very true,always true,not very true,somewhat true,always true,not very true,always true,always true,somewhat true,not very true,always true,0.0,0.0,0,0
707.0,1.0,male,1.0,pilot 1.1,7.0,alone,yes,input into most decisions,input into some decisions,no,no decision made,no decision made,yes,input into some decisions,input into some decisions,no,no decision made,no decision made,self,spouse,,to a high extent,self,spouse,,to a high extent,self,spouse,,medium extent,self,spouse,,medium extent,not applicable,not applicable,not applicable,n/a,not applicable,not applicable,not applicable,n/a,spouse,,,small extent,never true,somewhat true,always true,never true,somewhat true,always true,never true,not very true,always true,never true,not very true,always true,0.0,0.0,0,0
707.0,2.0,female,1.0,pilot 1.1,7.0,alone,yes,input into most decisions,input into some decisions,yes,input into most decisions,input into some decisions,yes,input into some decisions,input into some decisions,no,no decision made,no decision made,self,spouse,,to a high extent,self,spouse,,to a high extent,self,spouse,,medium extent,self,spouse,,small extent,not applicable,not applicable,not applicable,n/a,not applicable,not applicable,not applicable,n/a,self,not applicable,not applicable,n/a,never true,somewhat true,always true,not very true,not very true,always true,not very true,not very true,always true,not very true,somewhat true,never true,0.0,0.0,0,0
708.0,1.0,male,1.0,pilot 1.1,7.0,alone,yes,input into some decisions,input into some decisions,yes,input into most decisions,input into most decisions,yes,input into some decisions,input into some decisions,no,no decision made,no decision made,self,not applicable,not applicable,n/a,self,spouse,,medium extent,self,spouse,,to a high extent,self,spouse,,medium extent,not applicable,not applicable,not applicable,n/a,not applicable,not applicable,not applicable,n/a,spouse,,,to a high extent,never true,never true,always true,not very true,never true,always true,never true,never true,always true,not very true,not very true,somewhat true,0.0,0.0,0,0
708.0,2.0,female,1.0,pilot 1.1,7.0,alone,yes,input into some decisions,input into some decisions,yes,input into some decisions,input into some decisions,yes,input into some decisions,input into some decisions,no,no decision made,no decision made,self,spouse,,n/a,self,spouse,,n/a,self,not applicable,not applicable,n/a,self,spouse,,n/a,self,not applicable,not applicable,n/a,self,not applicable,not applicable,n/a,self,not applicable,not applicable,n/a,never true,never true,always true,never true,never true,always true,never true,never true,always true,never true,never true,always true,0.0,0.0,0,0
709.0,1.0,male,1.0,pilot 1.1,7.0,alone,yes,input into most decisions,input into most decisions,yes,input into most decisions,input into most decisions,yes,input into some decisions,input into some decisions,no,no decision made,no decision made,self,not applicable,not applicable,n/a,self,spouse,,to a high extent,self,not applicable,not applicable,n/a,self,spouse,,medium extent,self,spouse,other hh member,medium extent,not applicable,not applicable,not applicable,n/a,self,spouse,,small extent,never true,never true,always true,not very true,not very true,always true,never true,never true,somewhat true,not very true,not very true,somewhat true,0.0,0.0,0,0
709.0,2.0,female,1.0,pilot 1.1,7.0,alone,yes,input into some decisions,input into some decisions,yes,input into some decisions,input into some decisions,yes,input into some decisions,input into some decisions,no,no decision made,no decision made,self,spouse,,medium extent,self,not applicable,not applicable,n/a,self,not applicable,not applicable,n/a,self,not applicable,not applicable,n/a,self,not applicable,not applicable,n/a,self,not applicable,not applicable,n/a,self,not applicable,not applicable,n/a,never true,never true,always true,never true,never true,always true,never true,never true,always true,never true,never true,always true,0.0,0.0,0,0
710.0,1.0,male,1.0,pilot 1.1,7.0,alone,yes,input into most decisions,no decision made,yes,input into most decisions,input into most decisions,yes,input into most decisions,no decision made,no,no decision made,no decision made,self,not applicable,not applicable,n/a,self,not applicable,not applicable,n/a,self,spouse,,to a high extent,self,not applicable,not applicable,n/a,self,not applicable,not applicable,n/a,self,spouse,,to a high extent,self,spouse,,to a high extent,not very true,not very true,always true,somewhat true,somewhat true,always true,never true,never true,always true,never true,never true,always true,0.0,0.0,0,0
710.0,2.0,female,1.0,pilot 1.1,7.0,alone,yes,input into most decisions,input into most decisions,no,no decision made,no decision made,no,no decision made,no decision made,no,no decision made,no decision made,self,spouse,,medium extent,self,spouse,,medium extent,self,spouse,,to a high extent,self,spouse,,small extent,self,spouse,,medium extent,self,spouse,,to a high extent,self,spouse,,medium extent,always true,somewhat true,always true,always true,not very true,somewhat true,always true,somewhat true,always true,always true,always true,always true,0.0,1.0,0,1
711.0,1.0,male,1.0,pilot 1.1,7.0,alone,yes,input into most decisions,no decision made,yes,input into most decisions,input into most decisions,yes,input into most decisions,no decision made,no,no decision made,no decision made,self,not applicable,not applicable,n/a,self,spouse,,n/a,self,spouse,,to a high extent,self,spouse,,to a high extent,self,not applicable,not applicable,n/a,self,not applicable,not applicable,n/a,spouse,,,medium extent,not very true,not very true,always true,not very true,somewhat true,always true,not very true,somewhat true,always true,not very true,not very true,always true,0.0,0.0,0,0
711.0,2.0,female,1.0,pilot 1.1,7.0,alone,yes,input into most decisions,input into some decisions,yes,input into some decisions,input into some decisions,yes,input into some decisions,input into some decisions,no,no decision made,no decision made,self,spouse,,medium extent,self,spouse,,medium extent,self,spouse,,to a high extent,spouse,,,small extent,spouse,,,small extent,self,spouse,,medium extent,self,not applicable,not applicable,n/a,always true,somewhat true,always true,always true,always true,always true,always true,somewhat true,always true,somewhat true,somewhat true,always true,0.0,0.0,0,0
802.0,1.0,male,1.0,pilot 1.1,8.0,alone,yes,input into most decisions,input into most decisions,yes,input into most decisions,input into most decisions,yes,input into most decisions,input into most decisions,no,no decision made,no decision made,self,not applicable,not applicable,n/a,self,not applicable,not applicable,n/a,self,spouse,,to a high extent,self,not applicable,not applicable,n/a,not applicable,not applicable,not applicable,n/a,not applicable,not applicable,not applicable,n/a,spouse,,,to a high extent,never true,never true,always true,not very true,never true,always true,never true,never true,always true,somewhat true,somewhat true,always true,0.0,0.0,0,0
802.0,2.0,female,1.0,pilot 1.1,8.0,alone,yes,input into some decisions,input into some decisions,yes,input into some decisions,input into some decisions,yes,no decision made,no decision made,no,no decision made,no decision made,self,spouse,,medium extent,self,not applicable,not applicable,n/a,self,spouse,,medium extent,self,spouse,,not at all,self,not applicable,not applicable,n/a,spouse,,,not at all,self,spouse,,medium extent,never true,never true,always true,never true,never true,always true,never true,never true,always true,never true,never true,always true,0.0,0.0,0,0
803.0,1.0,male,1.0,pilot 1.1,8.0,alone,yes,input into most decisions,input into most decisions,yes,input into most decisions,input into most decisions,yes,input into most decisions,input into most decisions,no,no decision made,no decision made,self,not applicable,not applicable,n/a,self,spouse,,to a high extent,self,spouse,,medium extent,self,not applicable,not applicable,n/a,not applicable,not applicable,not applicable,n/a,not applicable,not applicable,not applicable,n/a,spouse,,,to a high extent,never true,never true,always true,not very true,not very true,always true,never true,never true,somewhat true,never true,never true,always true,0.0,0.0,0,0
803.0,2.0,female,1.0,pilot 1.1,8.0,alone,yes,no input,no input,yes,no input,no input,no,no decision made,no decision made,no,no decision made,no decision made,self,spouse,,medium extent,self,spouse,,medium extent,self,not applicable,not applicable,n/a,spouse,,,not at all,self,not applicable,not applicable,n/a,self,not applicable,not applicable,n/a,self,not applicable,not applicable,n/a,never true,never true,always true,never true,never true,always true,never true,never true,always true,household does not engage in activity/decision not made,household does not engage in activity/decision not made,household does not engage in activity/decision not made,0.0,0.0,0,0
804.0,1.0,male,1.0,pilot 1.1,8.0,alone,yes,input into most decisions,input into most decisions,no,no decision made,no decision made,yes,input into most decisions,input into most decisions,no,no decision made,no decision made,self,not applicable,not applicable,n/a,self,spouse,,to a high extent,self,spouse,,small extent,self,not applicable,not applicable,n/a,self,spouse,,medium extent,not applicable,not applicable,not applicable,n/a,self,spouse,,small extent,never true,never true,always true,not very true,not very true,always true,somewhat true,not very true,always true,never true,never true,always true,0.0,0.0,0,0
804.0,2.0,female,1.0,pilot 1.1,8.0,alone,yes,input into some decisions,input into some decisions,no,no decision made,no decision made,yes,input into some decisions,input into some decisions,no,no decision made,no decision made,self,spouse,,medium extent,self,spouse,,n/a,self,spouse,,medium extent,self,spouse,,medium extent,self,spouse,,medium extent,self,spouse,,medium extent,self,spouse,,medium extent,never true,never true,always true,never true,never true,always true,never true,never true,always true,never true,never true,always true,0.0,0.0,0,0
805.0,1.0,male,1.0,pilot 1.1,8.0,alone,yes,input into most decisions,input into most decisions,yes,input into most decisions,input into most decisions,yes,input into some decisions,input into some decisions,no,no decision made,no decision made,self,not applicable,not applicable,n/a,self,not applicable,not applicable,n/a,self,spouse,,medium extent,self,not applicable,not applicable,n/a,self,spouse,,small extent,not applicable,not applicable,not applicable,n/a,self,spouse,,small extent,never true,never true,somewhat true,not very true,never true,always true,never true,never true,always true,not very true,not very true,always true,0.0,0.0,0,0
805.0,2.0,female,1.0,pilot 1.1,8.0,alone,yes,input into some decisions,input into some decisions,yes,input into some decisions,input into some decisions,yes,input into some decisions,input into some decisions,no,no decision made,no decision made,self,spouse,,medium extent,self,spouse,,medium extent,self,spouse,,medium extent,self,spouse,,small extent,self,spouse,,to a high extent,spouse,,,to a high extent,self,spouse,,medium extent,never true,never true,always true,never true,never true,always true,never true,never true,always true,never true,never true,always true,0.0,0.0,0,0
807.0,1.0,male,1.0,pilot 1.1,8.0,alone,yes,input into most decisions,input into most decisions,yes,input into most decisions,input into most decisions,no,no decision made,no decision made,no,no decision made,no decision made,self,spouse,,to a high extent,self,spouse,,to a high extent,self,spouse,,to a high extent,not applicable,not applicable,not applicable,n/a,self,not applicable,not applicable,n/a,not applicable,not applicable,not applicable,n/a,spouse,,,small extent,never true,always true,always true,always true,always true,always true,somewhat true,somewhat true,somewhat true,household does not engage in activity/decision not made,household does not engage in activity/decision not made,household does not engage in activity/decision not made,0.0,0.0,0,0
807.0,2.0,female,1.0,pilot 1.1,8.0,alone,yes,input into most decisions,input into most decisions,yes,input into most decisions,input into most decisions,yes,input into some decisions,input into some decisions,no,no decision made,no decision made,self,not applicable,not applicable,n/a,self,not applicable,not applicable,n/a,self,not applicable,not applicable,n/a,spouse,,,medium extent,self,not applicable,not applicable,n/a,self,not applicable,not applicable,n/a,self,not applicable,not applicable,n/a,never true,never true,always true,never true,never true,always true,never true,never true,always true,not very true,never true,somewhat true,0.0,0.0,0,0
809.0,1.0,male,1.0,pilot 1.1,8.0,alone,yes,input into most decisions,input into most decisions,yes,input into most decisions,input into most decisions,no,no decision made,no decision made,no,no decision made,no decision made,self,not applicable,not applicable,n/a,self,not applicable,not applicable,n/a,self,not applicable,not applicable,n/a,not applicable,not applicable,not applicable,n/a,not applicable,not applicable,not applicable,n/a,not applicable,not applicable,not applicable,n/a,self,not applicable,not applicable,n/a,never true,not very true,somewhat true,not very true,never true,always true,never true,not very true,always true,household does not engage in activity/decision not made,household does not engage in activity/decision not made,household does not engage in activity/decision not made,0.0,0.0,0,0
809.0,2.0,female,1.0,pilot 1.1,8.0,alone,yes,input into some decisions,input into some decisions,yes,input into some decisions,input into some decisions,yes,input into some decisions,input into some decisions,no,no decision made,no decision made,self,spouse,,medium extent,self,spouse,,medium extent,self,spouse,,medium extent,self,spouse,,medium extent,self,spouse,,medium extent,spouse,other hh member,,medium extent,self,not applicable,not applicable,n/a,never true,never true,somewhat true,never true,never true,always true,never true,never true,somewhat true,never true,never true,always true,0.0,0.0,0,0
810.0,1.0,male,1.0,pilot 1.1,8.0,alone,yes,input into most decisions,input into most decisions,yes,input into most decisions,input into most decisions,yes,input into most decisions,input into most decisions,no,no decision made,no decision made,self,spouse,,to a high extent,self,spouse,,to a high extent,self,spouse,,to a high extent,self,not applicable,not applicable,n/a,self,not applicable,not applicable,n/a,not applicable,not applicable,not applicable,n/a,self,not applicable,not applicable,n/a,never true,never true,always true,never true,never true,always true,not very true,never true,always true,never true,never true,always true,0.0,0.0,0,0
810.0,2.0,female,1.0,pilot 1.1,8.0,alone,yes,input into some decisions,input into some decisions,yes,input into some decisions,input into some decisions,no,no decision made,no decision made,no,no decision made,no decision made,self,spouse,,medium extent,self,spouse,,medium extent,self,spouse,,medium extent,not applicable,not applicable,not applicable,n/a,self,spouse,,medium extent,self,spouse,,medium extent,self,spouse,,medium extent,never true,never true,always true,never true,never true,always true,never true,never true,always true,never true,never true,always true,0.0,0.0,0,0
813.0,2.0,female,2.0,pilot 1.1,8.0,alone,yes,input into most decisions,input into most decisions,no,no decision made,no decision made,no,no decision made,no decision made,no,no decision made,no decision made,self,not applicable,not applicable,n/a,self,not applicable,not applicable,n/a,self,not applicable,not applicable,n/a,self,not applicable,not applicable,n/a,self,not applicable,not applicable,n/a,not applicable,not applicable,not applicable,n/a,self,not applicable,not applicable,n/a,not very true,not very true,always true,never true,never true,always true,never true,never true,somewhat true,household does not engage in activity/decision not made,household does not engage in activity/decision not made,household does not engage in activity/decision not made,0.0,0.0,0,0
1101.0,1.0,male,1.0,pilot 1.1,11.0,alone,yes,input into most decisions,input into most decisions,yes,input into most decisions,input into most decisions,yes,input into most decisions,input into most decisions,no,no decision made,no decision made,self,spouse,other hh member,to a high extent,self,spouse,other hh member,to a high extent,self,spouse,other hh member,to a high extent,self,spouse,other hh member,to a high extent,self,spouse,other hh member,to a high extent,self,spouse,other hh member,to a high extent,self,spouse,other hh member,to a high extent,never true,somewhat true,always true,never true,somewhat true,always true,never true,somewhat true,always true,never true,somewhat true,always true,0.0,0.0,0,0
1101.0,2.0,female,1.0,pilot 1.1,11.0,alone,yes,input into most decisions,no input,yes,input into some decisions,input into some decisions,yes,input into some decisions,input into some decisions,no,no decision made,no decision made,spouse,,,not at all,self,not applicable,not applicable,n/a,self,not applicable,not applicable,n/a,spouse,,,n/a,not applicable,not applicable,not applicable,n/a,spouse,,,small extent,spouse,,,small extent,always true,always true,always true,always true,always true,always true,always true,always true,always true,always true,always true,always true,0.0,1.0,0,1
